Repository name,Username,Stars,URL
three.js,mrdoob,100000,https://github.com/mrdoob/three.js
react-three-fiber,pmndrs,26600,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22900,https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,22800,https://github.com/BabylonJS/Babylon.js
tinyrenderer,ssloy,19800,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18200,https://github.com/FreeCAD/FreeCAD
3d-game-shaders-for-beginners,lettier,17400,https://github.com/lettier/3d-game-shaders-for-beginners
aframe,aframevr,16400,https://github.com/aframevr/aframe
cesium,CesiumGS,12400,https://github.com/CesiumGS/cesium
blender,blender,12100,https://github.com/blender/blender
MonoGame,MonoGame,11100,https://github.com/MonoGame/MonoGame
mapbox-gl-js,mapbox,10900,https://github.com/mapbox/mapbox-gl-js
Open3D,isl-org,10800,https://github.com/isl-org/Open3D
zdog,metafizzy,10300,https://github.com/metafizzy/zdog
3D-Machine-Learning,timzhang642,9500,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio,nerfstudio-project,8900,https://github.com/nerfstudio-project/nerfstudio
SpaceshipGenerator,a1studmuffin,7600,https://github.com/a1studmuffin/SpaceshipGenerator
Fyrox,FyroxEngine,7500,https://github.com/FyroxEngine/Fyrox
GDevelop,4ian,7500,https://github.com/4ian/GDevelop
BlenderGIS,domlysz,7400,https://github.com/domlysz/BlenderGIS
