Repository name,Username,Stars,URL
public-apis,public-apis,297000,https://github.com/public-apis/public-apis
neovim,neovim,79800,https://github.com/neovim/neovim
fastapi,tiangolo,73100,https://github.com/tiangolo/fastapi
strapi,strapi,61600,https://github.com/strapi/strapi
hoppscotch,hoppscotch,61300,https://github.com/hoppscotch/hoppscotch
imgui,ocornut,57700,https://github.com/ocornut/imgui
slate,slatedocs,35900,https://github.com/slatedocs/slate
quivr,QuivrHQ,34000,https://github.com/QuivrHQ/quivr
insomnia,Kong,33600,https://github.com/Kong/insomnia
trpc,trpc,33500,https://github.com/trpc/trpc
cli,httpie,32700,https://github.com/httpie/cli
ccxt,ccxt,31900,https://github.com/ccxt/ccxt
graphql-engine,hasura,30900,https://github.com/hasura/graphql-engine
NeteaseCloudMusicApi,Binaryify,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
django-rest-framework,encode,27800,https://github.com/encode/django-rest-framework
yapi,YMFE,27200,https://github.com/YMFE/yapi
directus,directus,26400,https://github.com/directus/directus
ItChat,littlecodersh,25300,https://github.com/littlecodersh/ItChat
postgrest,PostgREST,22700,https://github.com/PostgREST/postgrest
api-guidelines,microsoft,22500,https://github.com/microsoft/api-guidelines
