Repository name,Username,Stars,URL
server,bitwarden,14700,https://github.com/bitwarden/server
abp,abpframework,12500,https://github.com/abpframework/abp
AspNetCore.Docs,dotnet,12400,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11700,https://github.com/aspnetboilerplate/aspnetboilerplate
nopCommerce,nopSolutions,9100,https://github.com/nopSolutions/nopCommerce
Electron.NET,ElectronNET,7200,https://github.com/ElectronNET/Electron.NET
clean-code-dotnet,thangchung,6900,https://github.com/thangchung/clean-code-dotnet
NSwag,RicoSuter,6600,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4200,https://github.com/FastEndpoints/FastEndpoints
aspnet-api-versioning,dotnet,3000,https://github.com/dotnet/aspnet-api-versioning
SmartStoreNET,smartstore,2600,https://github.com/smartstore/SmartStoreNET
Awesome-Microservices-DotNet,mjebrahimi,2600,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
Serenity,serenity-is,2600,https://github.com/serenity-is/Serenity
BaGet,loic-sharma,2600,https://github.com/loic-sharma/BaGet
ImageProcessor,JimBobSquarePants,2500,https://github.com/JimBobSquarePants/ImageProcessor
DotNet-Developer-Roadmap,milanm,1600,https://github.com/milanm/DotNet-Developer-Roadmap
aspnetcore-angular-universal,TrilonIO,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
csla,MarimerLLC,1200,https://github.com/MarimerLLC/csla
aspnetcore-Vue-starter,TrilonIO,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
Smartstore,smartstore,1100,https://github.com/smartstore/Smartstore
