Repository name,Username,Stars,URL
coding-interview-university,jwasham,298000,https://github.com/jwasham/coding-interview-university
javascript-algorithms,trekhleb,185000,https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,182000,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,173000,https://github.com/CyC2018/CS-Notes
tech-interview-handbook,yangshun,114000,https://github.com/yangshun/tech-interview-handbook
hello-algo,krahets,79500,https://github.com/krahets/hello-algo
interviews,kdn251,62700,https://github.com/kdn251/interviews
Java,TheAlgorithms,57600,https://github.com/TheAlgorithms/Java
leetcode,azl397985856,54100,https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,48700,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46400,https://github.com/algorithm-visualizer/algorithm-visualizer
interview,huihut,33700,https://github.com/huihut/interview
LeetCode-Go,halfrost,32400,https://github.com/halfrost/LeetCode-Go
JavaScript,TheAlgorithms,31800,https://github.com/TheAlgorithms/JavaScript
C-Plus-Plus,TheAlgorithms,29600,https://github.com/TheAlgorithms/C-Plus-Plus
interactive-coding-challenges,donnemartin,29100,https://github.com/donnemartin/interactive-coding-challenges
JCSprout,crossoverJie,27100,https://github.com/crossoverJie/JCSprout
algorithms,keon,23800,https://github.com/keon/algorithms
WaveFunctionCollapse,mxgmn,23000,https://github.com/mxgmn/WaveFunctionCollapse
homemade-machine-learning,trekhleb,22800,https://github.com/trekhleb/homemade-machine-learning
