Repository name,Username,Stars,URL
devops-exercises,bregman-arie,64700,https://github.com/bregman-arie/devops-exercises
system-design-101,ByteByteGoHq,60100,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52900,https://github.com/localstack/localstack
serverless,serverless,46300,https://github.com/serverless/serverless
data-science-ipython-notebooks,donnemartin,26700,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21000,https://github.com/sst/sst
pulumi,pulumi,20500,https://github.com/pulumi/pulumi
sops,getsops,15700,https://github.com/getsops/sops
kubespray,kubernetes-sigs,15600,https://github.com/kubernetes-sigs/kubespray
aws-cli,aws,15100,https://github.com/aws/aws-cli
awesome-kubernetes,ramitsurana,14800,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12600,https://github.com/caprover/caprover
awesome-aws,donnemartin,12300,https://github.com/donnemartin/awesome-aws
terraformer,GoogleCloudPlatform,12100,https://github.com/GoogleCloudPlatform/terraformer
aws-cdk,aws,11300,https://github.com/aws/aws-cdk
cas,apereo,10800,https://github.com/apereo/cas
chalice,aws,10500,https://github.com/aws/chalice
infracost,infracost,10500,https://github.com/infracost/infracost
phidata,phidatahq,10400,https://github.com/phidatahq/phidata
DevOps-Roadmap,milanm,10400,https://github.com/milanm/DevOps-Roadmap
