Repository name,Username,Stars,URL
flutter,flutter,163000,https://github.com/flutter/flutter
react-native,facebook,117000,https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,110000,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,105000,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,79800,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-flutter,Solido,52100,https://github.com/Solido/awesome-flutter
material-design-icons,google,50100,https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,49700,https://github.com/wasabeef/awesome-android-ui
tldr,tldr-pages,49300,https://github.com/tldr-pages/tldr
okhttp,square,45500,https://github.com/square/okhttp
joplin,laurent22,44100,https://github.com/laurent22/joplin
architecture-samples,android,44100,https://github.com/android/architecture-samples
retrofit,square,42800,https://github.com/square/retrofit
appwrite,appwrite,42200,https://github.com/appwrite/appwrite
jadx,skylot,40000,https://github.com/skylot/jadx
uni-app,dcloudio,39600,https://github.com/dcloudio/uni-app
fastlane,fastlane,38800,https://github.com/fastlane/fastlane
MPAndroidChart,PhilJay,37400,https://github.com/PhilJay/MPAndroidChart
shadowsocks-android,shadowsocks,34800,https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,34800,https://github.com/airbnb/lottie-android
