Repository name,Username,Stars,URL
Tasmota,arendst,21700,https://github.com/arendst/Tasmota
Marlin,MarlinFirmware,16000,https://github.com/MarlinFirmware/Marlin
tinygo,tinygo-org,14700,https://github.com/tinygo-org/tinygo
Arduino,arduino,14100,https://github.com/arduino/Arduino
johnny-five,rwaldron,13200,https://github.com/rwaldron/johnny-five
esp8266_deauther,SpacehuhnTech,13100,https://github.com/SpacehuhnTech/esp8266_deauther
arduino-esp32,espressif,13000,https://github.com/espressif/arduino-esp32
lowlevelprogramming-university,gurugio,9800,https://github.com/gurugio/lowlevelprogramming-university
gobot,hybridgroup,8800,https://github.com/hybridgroup/gobot
platformio-core,platformio,7700,https://github.com/platformio/platformio-core
ArduinoJson,bblanchon,6600,https://github.com/bblanchon/ArduinoJson
WiFiManager,tzapu,6400,https://github.com/tzapu/WiFiManager
ESP32Marauder,justcallmekoko,4900,https://github.com/justcallmekoko/ESP32Marauder
u8g2,olikraus,4900,https://github.com/olikraus/u8g2
OpenMower,ClemensElflein,4600,https://github.com/ClemensElflein/OpenMower
deej,omriharel,4500,https://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,4400,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino-cli,arduino,4200,https://github.com/arduino/arduino-cli
Serial-Studio,Serial-Studio,4200,https://github.com/Serial-Studio/Serial-Studio
cylon,hybridgroup,4200,https://github.com/hybridgroup/cylon
