Repository name,Username,Stars,URL
awesome,sindresorhus,309000,https://github.com/sindresorhus/awesome
awesome-python,vinta,211000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,186000,https://github.com/awesome-selfhosted/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,137000,https://github.com/trimstray/the-book-of-secret-knowledge
awesome-go,avelino,125000,https://github.com/avelino/awesome-go
HelloGitHub,521xueweihan,87400,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,85100,https://github.com/papers-we-love/papers-we-love
Awesome-Hacking,Hack-with-Github,79800,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,73000,https://github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,68800,https://github.com/DopplerHQ/awesome-interview-questions
awesome-for-beginners,MunGell,65700,https://github.com/MunGell/awesome-for-beginners
awesome-react,enaqx,63200,https://github.com/enaqx/awesome-react
awesome-cpp,fffaraz,56900,https://github.com/fffaraz/awesome-cpp
awesome-nodejs,sindresorhus,56900,https://github.com/sindresorhus/awesome-nodejs
awesome-scalability,binhnguyennus,56700,https://github.com/binhnguyennus/awesome-scalability
awesome-courses,prakhar1989,55300,https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,52100,https://github.com/Solido/awesome-flutter
awesome-android-ui,wasabeef,49700,https://github.com/wasabeef/awesome-android-ui
github-cheat-sheet,tiimgreen,46500,https://github.com/tiimgreen/github-cheat-sheet
awesome-ios,vsouza,46300,https://github.com/vsouza/awesome-ios
