Repository name,Username,Stars,URL
devops-exercises,bregman-arie,64700,https://github.com/bregman-arie/devops-exercises
generative-ai-for-beginners,microsoft,53800,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20500,https://github.com/pulumi/pulumi
recommenders,recommenders-team,18400,https://github.com/recommenders-team/recommenders
sops,getsops,15700,https://github.com/getsops/sops
LibreChat,danny-avila,15200,https://github.com/danny-avila/LibreChat
awesome-kubernetes,ramitsurana,14800,https://github.com/ramitsurana/awesome-kubernetes
azure-quickstart-templates,Azure,13800,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12600,https://github.com/caprover/caprover
infracost,infracost,10500,https://github.com/infracost/infracost
DevOps-Roadmap,milanm,10400,https://github.com/milanm/DevOps-Roadmap
prowler,prowler-cloud,9900,https://github.com/prowler-cloud/prowler
go-cloud,google,9400,https://github.com/google/go-cloud
computervision-recipes,microsoft,9300,https://github.com/microsoft/computervision-recipes
docker-android,budtmo,8800,https://github.com/budtmo/docker-android
metaflow,Netflix,7800,https://github.com/Netflix/metaflow
azuredatastudio,microsoft,7500,https://github.com/microsoft/azuredatastudio
midway,midwayjs,7200,https://github.com/midwayjs/midway
formidable,node-formidable,7000,https://github.com/node-formidable/formidable
clean-code-dotnet,thangchung,6900,https://github.com/thangchung/clean-code-dotnet
