Repository name,Username,Stars,URL
babel,babel,43000,https://github.com/babel/babel
swc,swc-project,30400,https://github.com/swc-project/swc
nylas-mail,nylas,24800,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,22900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,SimulatedGREG,15400,https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,15100,https://github.com/grab/front-end-guide
babel-handbook,jamiebuilds,12000,https://github.com/jamiebuilds/babel-handbook
htm,developit,8600,https://github.com/developit/htm
grommet,grommet,8300,https://github.com/grommet/grommet
twin.macro,ben-rogerson,7900,https://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,6400,https://github.com/ast-grep/ast-grep
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
astexplorer,fkling,6000,https://github.com/fkling/astexplorer
documentation,documentationjs,5800,https://github.com/documentationjs/documentation
nwb,insin,5600,https://github.com/insin/nwb
gogocode,thx,5300,https://github.com/thx/gogocode
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
poi,egoist,5200,https://github.com/egoist/poi
react,duxianwei520,5000,https://github.com/duxianwei520/react
babel-loader,babel,4800,https://github.com/babel/babel-loader
