Repository name,Username,Stars,URL
the-art-of-command-line,jlevy,151000,https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,77100,https://github.com/nvm-sh/nvm
fzf,junegunn,61800,https://github.com/junegunn/fzf
starship,starship,42900,https://github.com/starship/starship
zx,google,42300,https://github.com/google/zx
awesome-cheatsheets,LeCoupa,38400,https://github.com/LeCoupa/awesome-cheatsheets
acme.sh,acmesh-official,37500,https://github.com/acmesh-official/acme.sh
pure-bash-bible,dylanaraps,36300,https://github.com/dylanaraps/pure-bash-bible
shellcheck,koalaman,35500,https://github.com/koalaman/shellcheck
awesome-shell,alebcay,31800,https://github.com/alebcay/awesome-shell
dotfiles,mathiasbynens,30000,https://github.com/mathiasbynens/dotfiles
linux-command,jaywcjlove,29700,https://github.com/jaywcjlove/linux-command
autocomplete,withfig,24400,https://github.com/withfig/autocomplete
neofetch,dylanaraps,21600,https://github.com/dylanaraps/neofetch
WindTerm,kingToolbox,21500,https://github.com/kingToolbox/WindTerm
asdf,asdf-vm,21100,https://github.com/asdf-vm/asdf
zoxide,ajeetdsouza,20300,https://github.com/ajeetdsouza/zoxide
Warp,warpdotdev,20200,https://github.com/warpdotdev/Warp
openvpn-install,Nyr,18600,https://github.com/Nyr/openvpn-install
atuin,atuinsh,18600,https://github.com/atuinsh/atuin
