Repository name,Username,Stars,URL
bitcoin,bitcoin,77100,https://github.com/bitcoin/bitcoin
ccxt,ccxt,31900,https://github.com/ccxt/ccxt
freqtrade,freqtrade,26300,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23100,https://github.com/bitcoinbook/bitcoinbook
ZeroNet,HelloZeroNet,18300,https://github.com/HelloZeroNet/ZeroNet
solana,solana-labs,12700,https://github.com/solana-labs/solana
abu,bbfamily,11500,https://github.com/bbfamily/abu
gekko,askmike,10000,https://github.com/askmike/gekko
blockchain,dvf,7700,https://github.com/dvf/blockchain
lnd,lightningnetwork,7600,https://github.com/lightningnetwork/lnd
electrum,spesmilo,7200,https://github.com/spesmilo/electrum
lbry-sdk,lbryio,7200,https://github.com/lbryio/lbry-sdk
umbrel,getumbrel,6900,https://github.com/getumbrel/umbrel
blockchain_guide,yeasy,6800,https://github.com/yeasy/blockchain_guide
Qbot,UFund-Me,6500,https://github.com/UFund-Me/Qbot
btcpayserver,btcpayserver,6200,https://github.com/btcpayserver/btcpayserver
btcd,btcsuite,6100,https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,5600,https://github.com/bitcoinjs/bitcoinjs-lib
jesse,jesse-ai,5400,https://github.com/jesse-ai/jesse
blockchain-demo,anders94,5100,https://github.com/anders94/blockchain-demo
