Repository name,Username,Stars,URL
ccxt,ccxt,31900,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25300,https://github.com/python-telegram-bot/python-telegram-bot
discord.js,discordjs,25000,https://github.com/discordjs/discord.js
wechaty,wechaty,19500,https://github.com/wechaty/wechaty
rasa,RasaHQ,18300,https://github.com/RasaHQ/rasa
hubot,hubotio,16600,https://github.com/hubotio/hubot
InstaPy,InstaPy,16500,https://github.com/InstaPy/InstaPy
leon,leon-ai,14900,https://github.com/leon-ai/leon
discord.py,Rapptz,14500,https://github.com/Rapptz/discord.py
whatsapp-web.js,pedroslopez,14400,https://github.com/pedroslopez/whatsapp-web.js
YYeTsBot,tgbot-collection,14000,https://github.com/tgbot-collection/YYeTsBot
ChatterBot,gunthercox,14000,https://github.com/gunthercox/ChatterBot
chatgpt-mirai-qq-bot,lss233,12500,https://github.com/lss233/chatgpt-mirai-qq-bot
botkit,howdyai,11400,https://github.com/howdyai/botkit
go-cqhttp,Mrs4s,10300,https://github.com/Mrs4s/go-cqhttp
EverydayWechat,sfyc23,9900,https://github.com/sfyc23/EverydayWechat
node-telegram-bot-api,yagop,8100,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,7900,https://github.com/telegraf/telegraf
ailab,microsoft,7700,https://github.com/microsoft/ailab
botframework-sdk,microsoft,7400,https://github.com/microsoft/botframework-sdk
