Repository name,Username,Stars,URL
project-based-learning,practical-tutorials,180000,https://github.com/practical-tutorials/project-based-learning
CS-Notes,CyC2018,173000,https://github.com/CyC2018/CS-Notes
awesome-cpp,fffaraz,56900,https://github.com/fffaraz/awesome-cpp
leetcode,azl397985856,54100,https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,48700,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43700,https://github.com/x64dbg/x64dbg
ImHex,WerWolv,39600,https://github.com/WerWolv/ImHex
CPlusPlusThings,Light-City,38000,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,35400,https://github.com/ClickHouse/ClickHouse
interview,huihut,33700,https://github.com/huihut/interview
carbon-lang,carbon-language,32299,https://github.com/carbon-language/carbon-lang
openpose,CMU-Perceptual-Computing-Lab,30400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
leetcode,doocs,29800,https://github.com/doocs/leetcode
C-Plus-Plus,TheAlgorithms,29600,https://github.com/TheAlgorithms/C-Plus-Plus
calculator,microsoft,29200,https://github.com/microsoft/calculator
aseprite,aseprite,27600,https://github.com/aseprite/aseprite
dragonfly,dragonflydb,24500,https://github.com/dragonflydb/dragonfly
modern-cpp-tutorial,changkun,23400,https://github.com/changkun/modern-cpp-tutorial
spdlog,gabime,22900,https://github.com/gabime/spdlog
solidity,ethereum,22700,https://github.com/ethereum/solidity
