Repository name,Username,Stars,URL
scrcpy,Genymobile,105000,https://github.com/Genymobile/scrcpy
neovim,neovim,79800,https://github.com/neovim/neovim
obs-studio,obsproject,57200,https://github.com/obsproject/obs-studio
awesome-cpp,fffaraz,56900,https://github.com/fffaraz/awesome-cpp
git,git,50900,https://github.com/git/git
FFmpeg,FFmpeg,43600,https://github.com/FFmpeg/FFmpeg
open-source-mac-os-apps,serhii-londar,40300,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35500,https://github.com/vim/vim
curl,curl,34800,https://github.com/curl/curl
interview,huihut,33700,https://github.com/huihut/interview
mpv,mpv-player,26700,https://github.com/mpv-player/mpv
the_silver_searcher,ggreer,25900,https://github.com/ggreer/the_silver_searcher
srs,ossrs,24700,https://github.com/ossrs/srs
kitty,kovidgoyal,22700,https://github.com/kovidgoyal/kitty
flatbuffers,google,22500,https://github.com/google/flatbuffers
vcpkg,microsoft,22200,https://github.com/microsoft/vcpkg
ruby,ruby,21700,https://github.com/ruby/ruby
raylib,raysan5,20400,https://github.com/raysan5/raylib
hashcat,hashcat,20300,https://github.com/hashcat/hashcat
radare2,radareorg,20000,https://github.com/radareorg/radare2
