Repository name,Username,Stars,URL
electron,electron,113000,https://github.com/electron/electron
puppeteer,puppeteer,87600,https://github.com/puppeteer/puppeteer
playwright,microsoft,63700,https://github.com/microsoft/playwright
bypass-paywalls-chrome,iamadamdev,47800,https://github.com/iamadamdev/bypass-paywalls-chrome
mkcert,FiloSottile,46900,https://github.com/FiloSottile/mkcert
linux-command,jaywcjlove,29700,https://github.com/jaywcjlove/linux-command
octotree,ovity,22700,https://github.com/ovity/octotree
nightmare,segment-boneyard,19500,https://github.com/segment-boneyard/nightmare
headless-recorder,checkly,15000,https://github.com/checkly/headless-recorder
chrome-extensions-samples,GoogleChrome,14600,https://github.com/GoogleChrome/chrome-extensions-samples
SingleFile,gildas-lormeau,14300,https://github.com/gildas-lormeau/SingleFile
WebFundamentals,google,13900,https://github.com/google/WebFundamentals
chromeless,schickling,13200,https://github.com/schickling/chromeless
react-color,casesandberg,11900,https://github.com/casesandberg/react-color
ext-saladict,crimx,11800,https://github.com/crimx/ext-saladict
metamask-extension,MetaMask,11700,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10600,https://github.com/chromedp/chromedp
HackBrowserData,moonD4rk,10300,https://github.com/moonD4rk/HackBrowserData
SponsorBlock,ajayyy,9300,https://github.com/ajayyy/SponsorBlock
undetected-chromedriver,ultrafunkamsterdam,9000,https://github.com/ultrafunkamsterdam/undetected-chromedriver
