Repository name,Username,Stars,URL
metabase,metabase,37300,https://github.com/metabase/metabase
logseq,logseq,30800,https://github.com/logseq/logseq
penpot,penpot,29200,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13500,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
mal,kanaka,9900,https://github.com/kanaka/mal
awesomo,lk-geimfari,9300,https://github.com/lk-geimfari/awesomo
datascript,tonsky,5400,https://github.com/tonsky/datascript
reagent,reagent-project,4700,https://github.com/reagent-project/reagent
intellij-rainbow-brackets,izhangzhihao,4400,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/riemann/riemann
compojure,weavejester,4100,https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,4000,https://github.com/bbatsov/clojure-style-guide
defold,defold,3900,https://github.com/defold/defold
babashka,babashka,3900,https://github.com/babashka/babashka
status-mobile,status-im,3800,https://github.com/status-im/status-mobile
ring,ring-clojure,3700,https://github.com/ring-clojure/ring
cider,clojure-emacs,3500,https://github.com/clojure-emacs/cider
klipse,viebel,3100,https://github.com/viebel/klipse
Rich-Hickey-fanclub,tallesl,3000,https://github.com/tallesl/Rich-Hickey-fanclub
