Repository name,Username,Stars,URL
SwiftLint,realm,18500,https://github.com/realm/SwiftLint
infer,facebook,14800,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,13000,https://github.com/analysis-tools-dev/static-analysis
Modern-CPP-Programming,federico-busato,11400,https://github.com/federico-busato/Modern-CPP-Programming
awesome-guidelines,Kristories,9600,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9300,https://github.com/super-linter/super-linter
sonarqube,SonarSource,8700,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8200,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7600,https://github.com/reviewdog/reviewdog
pyre-check,facebook,6700,https://github.com/facebook/pyre-check
detekt,detekt,6100,https://github.com/detekt/detekt
state-of-the-art-shitcode,trekhleb,5500,https://github.com/trekhleb/state-of-the-art-shitcode
eslint-plugin-import,import-js,5400,https://github.com/import-js/eslint-plugin-import
pylint,pylint-dev,5200,https://github.com/pylint-dev/pylint
simplecov,simplecov-ruby,4700,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4700,https://github.com/pmd/pmd
jscpd,kucherenko,4600,https://github.com/kucherenko/jscpd
grumphp,phpro,4100,https://github.com/phpro/grumphp
HTMLHint,htmlhint,3100,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
