Repository name,Username,Stars,URL
octotree,ovity,22700,https://github.com/ovity/octotree
gitpod,gitpod-io,12500,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7600,https://github.com/reviewdog/reviewdog
danger,danger,5400,https://github.com/danger/danger
danger-js,danger,5200,https://github.com/danger/danger-js
pr-agent,Codium-ai,4800,https://github.com/Codium-ai/pr-agent
awesome-code-review,joho,4300,https://github.com/joho/awesome-code-review
nodejsscan,ajinabraham,2400,https://github.com/ajinabraham/nodejsscan
vscode-pull-request-github,microsoft,2300,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,2100,https://github.com/crev-dev/cargo-crev
hound,houndci,1900,https://github.com/houndci/hound
mutant,mbj,1900,https://github.com/mbj/mutant
CodeAnalysis,Tencent,1600,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
code-review-tips,ryanmcdermott,1500,https://github.com/ryanmcdermott/code-review-tips
ai-pr-reviewer,coderabbitai,1400,https://github.com/coderabbitai/ai-pr-reviewer
code-review-gpt,mattzcarey,1400,https://github.com/mattzcarey/code-review-gpt
python_sec,bit4woo,1300,https://github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,1300,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,961,https://github.com/jiangsir404/Audit-Learning
