Repository name,Username,Stars,URL
ohmyzsh,ohmyzsh,171000,https://github.com/ohmyzsh/ohmyzsh
fzf,junegunn,61800,https://github.com/junegunn/fzf
sherlock,sherlock-project,52500,https://github.com/sherlock-project/sherlock
lazygit,jesseduffield,48000,https://github.com/jesseduffield/lazygit
bat,sharkdp,47600,https://github.com/sharkdp/bat
ripgrep,BurntSushi,46100,https://github.com/BurntSushi/ripgrep
dive,wagoodman,44500,https://github.com/wagoodman/dive
n8n,n8n-io,42300,https://github.com/n8n-io/n8n
zx,google,42300,https://github.com/google/zx
cheat.sh,chubin,37800,https://github.com/chubin/cheat.sh
cobra,spf13,36700,https://github.com/spf13/cobra
cli,cli,36000,https://github.com/cli/cli
cli,httpie,32700,https://github.com/httpie/cli
fd,sharkdp,32500,https://github.com/sharkdp/fd
awesome-shell,alebcay,31800,https://github.com/alebcay/awesome-shell
modern-unix,ibraheemdev,30300,https://github.com/ibraheemdev/modern-unix
ChatGPT,acheong08,28000,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27900,https://github.com/tqdm/tqdm
angular-cli,angular,26700,https://github.com/angular/angular-cli
python-fire,google,26600,https://github.com/google/python-fire
