Repository name,Username,Stars,URL
next.js,vercel,123000,https://github.com/vercel/next.js
rust,rust-lang,94700,https://github.com/rust-lang/rust
svelte,sveltejs,77400,https://github.com/sveltejs/svelte
webpack,webpack,64300,https://github.com/webpack/webpack
sway,FuelLabs,63000,https://github.com/FuelLabs/sway
gatsby,gatsbyjs,55100,https://github.com/gatsbyjs/gatsby
kotlin,JetBrains,48300,https://github.com/JetBrains/kotlin
parcel,parcel-bundler,43300,https://github.com/parcel-bundler/parcel
babel,babel,43000,https://github.com/babel/babel
esbuild,evanw,37600,https://github.com/evanw/esbuild
v,vlang,35500,https://github.com/vlang/v
carbon-lang,carbon-language,32299,https://github.com/carbon-language/carbon-lang
marked,markedjs,32299,https://github.com/markedjs/marked
zig,ziglang,32000,https://github.com/ziglang/zig
swc,swc-project,30400,https://github.com/swc-project/swc
typst,typst,29800,https://github.com/typst/typst
pkg,vercel,24200,https://github.com/vercel/pkg
v8,v8,22900,https://github.com/v8/v8
graal,oracle,20000,https://github.com/oracle/graal
crystal,crystal-lang,19200,https://github.com/crystal-lang/crystal
