Repository name,Username,Stars,URL
localstack,localstack,52900,https://github.com/localstack/localstack
gitness,harness,31900,https://github.com/harness/gitness
jenkins,jenkinsci,22700,https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,14100,https://github.com/auchenberg/volkswagen
dagger,dagger,10600,https://github.com/dagger/dagger
DevOps-Roadmap,milanm,10400,https://github.com/milanm/DevOps-Roadmap
origin,openshift,8500,https://github.com/openshift/origin
concourse,concourse,7300,https://github.com/concourse/concourse
gocd,gocd,7100,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia,gaia-pipeline,5200,https://github.com/gaia-pipeline/gaia
strider,Strider-CD,4600,https://github.com/Strider-CD/strider
flagsmith,Flagsmith,4600,https://github.com/Flagsmith/flagsmith
jx,jenkins-x,4500,https://github.com/jenkins-x/jx
cds,ovh,4500,https://github.com/ovh/cds
ModernCppStarter,TheLartians,4200,https://github.com/TheLartians/ModernCppStarter
github-pages-deploy-action,JamesIves,4100,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4000,https://github.com/werf/werf
cml,iterative,4000,https://github.com/iterative/cml
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
