Repository name,Username,Stars,URL
crystal,crystal-lang,19200,https://github.com/crystal-lang/crystal
kemal,kemalcr,3600,https://github.com/kemalcr/kemal
awesome-crystal,veelenga,3300,https://github.com/veelenga/awesome-crystal
lucky,luckyframework,2600,https://github.com/luckyframework/lucky
amber,amberframework,2600,https://github.com/amberframework/amber
Mango,getmango,1700,https://github.com/getmango/Mango
hetzner-k3s,vitobotta,1600,https://github.com/vitobotta/hetzner-k3s
lilith,ffwff,1100,https://github.com/ffwff/lilith
fib,drujensen,854,https://github.com/drujensen/fib
amethyst,amethyst-framework,648,https://github.com/amethyst-framework/amethyst
Programming-Language-Benchmarks,hanabi1224,613,https://github.com/hanabi1224/Programming-Language-Benchmarks
crystal-by-example,askn,548,https://github.com/askn/crystal-by-example
noir,owasp-noir,527,https://github.com/owasp-noir/noir
ameba,crystal-ameba,509,https://github.com/crystal-ameba/ameba
icr,crystal-community,501,https://github.com/crystal-community/icr
crystal-pg,will,460,https://github.com/will/crystal-pg
crystalline,elbywan,424,https://github.com/elbywan/crystalline
jennifer.cr,imdrasil,414,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,412,https://github.com/vim-crystal/vim-crystal
marten,martenframework,395,https://github.com/martenframework/marten
